Time, [dogfood-idc-elf-61]enp4s0f0, [dogfood-idc-elf-61]enp4s0f1, [dogfood-idc-elf-61]eno1, [dogfood-idc-elf-61]eno2, [dogfood-idc-elf-61]port-mgt, [dogfood-idc-elf-61]port-storage, [dogfood-idc-elf-61]port-internal, Unit
2019-07-05T19:52:26, , , , , , , , bps
2019-07-05T19:52:56, , , , , , , , bps
2019-07-05T19:53:26, , , , , , , , bps
2019-07-05T19:53:56, , , , , , , , bps
2019-07-05T19:54:16, 4309066, 0, 444175, 0, 382783, 4134174, 415505, bps
2019-07-05T19:54:48, 5083404, 0, 1565619, 0, 1515804, 4889905, 415251, bps
2019-07-05T19:55:18, 6650707, 0, 680972, 0, 640611, 6433370, 414609, bps
2019-07-05T19:55:22, 6487128, 0, 14054, 0, 996, 6251453, 414072, bps
2019-07-05T19:55:52, 5703748, 0, 12636, 0, 392, 5500480, 414402, bps
2019-07-05T19:56:22, 8155652, 0, 86155, 0, 70343, 7838497, 415304, bps
2019-07-05T19:56:48, 5788612, 0, 610762, 0, 582412, 5567490, 415865, bps
2019-07-05T19:57:18, 6756701, 0, 1010572, 0, 966747, 6548804, 416011, bps
2019-07-05T19:57:48, 4324153, 0, 487785, 0, 458556, 4160346, 681029, bps
2019-07-05T19:58:18, 8196449, 0, 618792, 0, 589392, 7886273, 414774, bps
2019-07-05T19:58:38, 8002048, 0, 14292, 0, 330, 7682028, 415045, bps
2019-07-05T19:59:11, 6758829, 0, 40700, 0, 4452, 6528438, 415292, bps
2019-07-05T19:59:41, 10864652, 0, 14898, 0, 2360, 10474818, 414418, bps
2019-07-05T20:00:11, 6767082, 0, 42163, 0, 4492, 6528605, 414732, bps
2019-07-05T20:00:34, 7095031, 0, 1319054, 0, 1245802, 6826062, 414468, bps
2019-07-05T20:01:04, 7609235, 0, 32709, 0, 18736, 7333111, 415375, bps
2019-07-05T20:01:42, 23129822, 0, 12534, 0, 372, 22207544, 414462, bps
2019-07-05T20:02:12, 6999619, 0, 57873, 0, 45739, 6738058, 414138, bps
2019-07-05T20:02:39, 6605801, 0, 1582817, 0, 1506540, 6414512, 414962, bps
2019-07-05T20:03:09, 7157402, 0, 25829, 0, 8282, 6945172, 414828, bps
2019-07-05T20:03:40, 6348591, 0, 1988622, 0, 1902669, 6110894, 414882, bps
2019-07-05T20:04:27, 5688498, 0, 17802, 0, 5467, 5473777, 414204, bps
2019-07-05T20:04:57, 4739936, 0, 60110, 0, 17753, 4564927, 414468, bps
2019-07-05T20:05:27, 6268756, 0, 48075, 0, 32176, 6024589, 414310, bps
2019-07-05T20:05:38, 3991856, 0, 23940, 0, 330, 3864922, 413879, bps
2019-07-05T20:06:17, 4826630, 0, 26460, 0, 11036, 4683327, 414336, bps
2019-07-05T20:06:47, 5338557, 0, 643857, 0, 601955, 5130990, 414336, bps
2019-07-05T20:07:33, 4474827, 0, 34324, 0, 9956, 4305288, 414666, bps
2019-07-05T20:08:03, 7111990, 0, 14169, 0, 330, 6838191, 415669, bps
2019-07-05T20:08:17, 5057193, 0, 62496, 0, 18860, 4871910, 414894, bps
2019-07-05T20:08:47, 6831690, 0, 1416778, 0, 1344458, 6572585, 414798, bps
2019-07-05T20:09:17, 4466742, 0, 15251, 0, 330, 4298413, 414648, bps
2019-07-05T20:09:37, 6636447, 0, 2148272, 0, 2047325, 6386255, 414402, bps
2019-07-05T20:10:07, 4703589, 0, 25526, 0, 14378, 4527714, 414072, bps
2019-07-05T20:10:32, 9830736, 0, 64659, 0, 46049, 9459126, 414732, bps
2019-07-05T20:11:02, 5867847, 0, 31932, 0, 664, 5652320, 414270, bps
2019-07-05T20:11:38, 6277325, 0, 1867438, 0, 1797056, 6037268, 415520, bps
2019-07-05T20:12:20, 6437777, 0, 33839, 0, 15168, 6188356, 414828, bps
2019-07-05T20:12:50, 5760527, 0, 43084, 0, 726, 5538286, 709287, bps
2019-07-05T20:13:04, 4317582, 0, 1237769, 0, 1174038, 4157950, 415110, bps
2019-07-05T20:13:34, 3844126, 0, 22275, 0, 7762, 3705555, 414336, bps
2019-07-05T20:13:52, 5360529, 0, 1439439, 0, 1339132, 5169162, 415630, bps
2019-07-05T20:14:22, 5415743, 0, 102952, 0, 59671, 5216633, 415456, bps
2019-07-05T20:14:52, 6132678, 0, 1087461, 0, 1041546, 5965413, 414534, bps
2019-07-05T20:15:22, 5623642, 0, 210842, 0, 164836, 5417537, 415029, bps
2019-07-05T20:15:55, 4930298, 0, 72464, 0, 54377, 4762017, 414995, bps
2019-07-05T20:16:25, 4375706, 0, 140248, 0, 124320, 4213152, 415292, bps
2019-07-05T20:16:48, 5682684, 0, 157882, 0, 104894, 5462204, 415460, bps
2019-07-05T20:17:18, 5612201, 0, 1978307, 0, 1885835, 5454779, 414402, bps
2019-07-05T20:17:44, 4039471, 0, 221181, 0, 201718, 3906681, 415546, bps
2019-07-05T20:18:14, 6749259, 0, 17054, 0, 3960, 6503570, 415635, bps
2019-07-05T20:19:07, 6549107, 0, 1835526, 0, 1733345, 6302611, 414270, bps
2019-07-05T20:19:33, 5495884, 0, 23700, 0, 6294, 5285502, 414993, bps
2019-07-05T20:19:58, 6416659, 0, 63335, 0, 23010, 6173694, 414715, bps
2019-07-05T20:20:28, 5000078, 0, 53379, 0, 36450, 4810973, 414204, bps
2019-07-05T20:20:59, 7979315, 0, 65603, 0, 49404, 7673427, 414715, bps
2019-07-05T20:21:29, 4353448, 0, 51488, 0, 730, 4214310, 414979, bps
2019-07-05T20:21:59, 8178888, 0, 17390, 0, 4490, 7863029, 415045, bps
2019-07-05T20:22:31, 6068463, 0, 111350, 0, 93705, 5869534, 416329, bps
2019-07-05T20:23:01, 7069267, 0, 23410, 0, 7774, 6801990, 414781, bps
2019-07-05T20:23:25, 5766633, 0, 77767, 0, 60658, 5547715, 415520, bps
2019-07-05T20:23:55, 8459000, 0, 23958, 0, 330, 8131070, 414318, bps
2019-07-05T20:24:25, 6695503, 0, 29504, 0, 12874, 6443063, 415026, bps
2019-07-05T20:24:38, 6374444, 0, 17933, 0, 4278, 6130213, 414939, bps
2019-07-05T20:25:02, 11358189, 0, 26087, 0, 330, 10921386, 414402, bps
2019-07-05T20:25:32, 5465197, 0, 95392, 0, 528, 5326097, 414072, bps
2019-07-05T20:26:02, 8065174, 0, 47438, 0, 4526, 7825248, 415111, bps
2019-07-05T20:26:32, 6948410, 0, 16276, 0, 996, 6754655, 415010, bps
2019-07-05T20:26:59, 4362417, 0, 1984213, 0, 1889040, 4196522, 414798, bps
2019-07-05T20:27:44, 4588250, 0, 25297, 0, 1078, 4472597, 415920, bps
2019-07-05T20:28:04, 7288639, 0, 30791, 0, 7358, 7018327, 414649, bps
2019-07-05T20:28:34, 5552140, 0, 146112, 0, 103317, 5343297, 415435, bps
2019-07-05T20:29:04, 5636276, 0, 16416, 0, 688, 5421072, 415359, bps
2019-07-05T20:29:34, 5129234, 0, 60657, 0, 43325, 4946608, 414336, bps
2019-07-05T20:29:54, 4702806, 0, 58770, 0, 622, 4528940, 414894, bps
2019-07-05T20:30:24, 5444682, 0, 91615, 0, 74565, 5246048, 416131, bps
2019-07-05T20:31:04, 10429199, 0, 94134, 0, 26743, 10036479, 978961, bps
2019-07-05T20:31:34, 4305079, 0, 1994863, 0, 1893380, 4151207, 414732, bps
2019-07-05T20:32:04, 5750903, 0, 55235, 0, 330, 5539027, 414996, bps
2019-07-05T20:32:34, 5493034, 0, 20863, 0, 4727, 5295300, 416154, bps
2019-07-05T20:33:04, 8930115, 0, 15420, 0, 330, 8580925, 414336, bps
2019-07-05T20:33:45, 4720698, 0, 28830, 0, 17391, 4550227, 348380, bps
2019-07-05T20:34:15, 6263416, 0, 85756, 0, 17846, 6015386, 415092, bps
2019-07-05T20:34:39, 7641517, 0, 1240642, 0, 1186411, 7337047, 414828, bps
2019-07-05T20:35:09, 6006703, 0, 130957, 0, 89692, 5772604, 414724, bps
2019-07-05T20:35:38, 8598344, 0, 42830, 0, 14732, 8247560, 414914, bps
2019-07-05T20:36:14, 3860789, 0, 125466, 0, 72706, 3722648, 415739, bps
2019-07-05T20:36:44, 5053961, 0, 41479, 0, 526, 4863471, 414138, bps
2019-07-05T20:37:14, 5593926, 0, 1981367, 0, 1883905, 5436572, 415062, bps
2019-07-05T20:37:22, 5875087, 0, 14156, 0, 810, 5687887, 414828, bps
2019-07-05T20:37:52, 5846914, 0, 29695, 0, 16053, 5621131, 414516, bps
2019-07-05T20:38:46, 5082325, 0, 82453, 0, 60843, 4888411, 414764, bps
2019-07-05T20:39:16, 4301802, 0, 64104, 0, 49686, 4143282, 414847, bps
2019-07-05T20:39:46, 5531679, 0, 46719, 0, 31411, 5320710, 415112, bps
2019-07-05T20:40:16, 6645456, 0, 2031920, 0, 1916110, 6386692, 415047, bps
2019-07-05T20:40:53, 4917219, 0, 16639, 0, 558, 4733721, 489429, bps
2019-07-05T20:41:23, 4223179, 0, 18735, 0, 4554, 4095979, 416686, bps
2019-07-05T20:42:03, 4302520, 0, 52838, 0, 330, 4181712, 414847, bps
2019-07-05T20:42:33, 5389082, 0, 63252, 0, 768, 5193093, 414336, bps
2019-07-05T20:42:52, 6393904, 0, 62653, 0, 45962, 6152419, 414648, bps
2019-07-05T20:43:22, 8883102, 0, 116373, 0, 74815, 8563484, 414798, bps
2019-07-05T20:43:52, 6389985, 0, 67365, 0, 46970, 6145572, 414925, bps
2019-07-05T20:44:46, 5459272, 0, 95190, 0, 53761, 5248982, 414600, bps
2019-07-05T20:45:16, 5595820, 0, 94991, 0, 70055, 5384607, 416306, bps
2019-07-05T20:45:46, 4729038, 0, 104740, 0, 63966, 4552552, 416030, bps
2019-07-05T20:46:18, 5653972, 0, 89023, 0, 71974, 5440456, 414072, bps
2019-07-05T20:46:23, 4567805, 0, 27341, 0, 546, 4404445, 414791, bps
2019-07-05T20:46:53, 4289225, 0, 21839, 0, 3991, 4138047, 415225, bps
2019-07-05T20:47:23, 5352420, 0, 68375, 0, 50511, 5155701, 415160, bps
2019-07-05T20:48:14, 5204951, 0, 14181, 0, 558, 5012571, 415206, bps
2019-07-05T20:48:51, 5833876, 0, 93613, 0, 79570, 5646127, 414204, bps
